time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range,eval/mean_reward,eval/mean_ep_length
13,2790,259.0,37888,-1815.878374,37,7058.206809234619,0.7828296422958374,-0.005140016108634881,0.7275992929935455,-3.5367114044725896,2142.73876953125,0.000990097133814429,0.05087890625,940,0.007189218,0.2,,
13,2867,238.0,38912,-1282.917261,38,16098.485721206665,0.7961620688438416,-0.004649858092307113,0.37189024686813354,-3.5391156442463396,5092.22998046875,0.000990097133814429,0.1392578125,950,0.012326551,0.2,,
13,2920,227.0,39936,-1258.82941,39,23400.389952850343,0.7934679388999939,-0.0034861988606280647,0.2362995743751526,-3.5594554625451567,14244.650390625,0.000990097133814429,0.10703125,960,0.011612533,0.2,,
,,,40000,,,15865.839585876465,0.8008397817611694,0.00858506042859517,0.3334580659866333,-3.574490524828434,16420.041015625,0.000990097133814429,0.22197265625,970,0.011447452,0.2,-1428.9492234,249.0
13,3150,239.0,40960,-1494.932066,40,,,,,,,,,,,,,
13,3228,536.0,41984,-4332.24372,41,20320.58585281372,0.7871955633163452,-0.0015515434264671058,0.2933007478713989,-3.552814244478941,4742.00390625,0.000990097133814429,0.048828125,980,0.007448758,0.2,,
13,3307,553.0,43008,-3949.338262,42,17220.31764373779,0.7871968150138855,0.0012352834484772757,0.25754469633102417,-3.5289343148469925,1036.399658203125,0.000990097133814429,0.05595703125,990,0.0031339133,0.2,,
12,3435,272.0,44032,-1727.497068,43,17022.616221237182,0.7825775146484375,-0.006380073737818748,0.3087072968482971,-3.5283849127590656,2260.8330078125,0.000990097133814429,0.12568359375,1000,0.0091474,0.2,,
12,3536,278.0,45056,-1924.806985,44,29346.765188598634,0.7918280959129333,-0.00017642431485000997,0.05966842174530029,-3.5300559610128404,21461.033203125,0.000990097133814429,0.0482421875,1010,0.0035763814,0.2,,
12,3639,215.0,46080,-1322.878718,45,25251.882613372803,0.8029362559318542,0.019323057206929662,0.04789072275161743,-3.5843511812388895,13624.9970703125,0.000990097133814429,0.29609375,1020,0.017814748,0.2,,
12,3742,220.0,47104,-1157.176716,46,22386.26943511963,0.796842098236084,0.021440201919176616,0.1616860032081604,-3.5757316924631595,9708.544921875,0.000990097133814429,0.33125,1030,0.034788728,0.2,,
12,3870,269.0,48128,-1835.530733,47,16755.88387260437,0.7970621585845947,0.0005059407732915134,0.20238083600997925,-3.5798971936106683,1185.158203125,0.000990097133814429,0.12880859375,1040,0.00762213,0.2,,
