[INFO] [1686169581.853433, 0.000000]: Iniciando os testes...
[INFO] [1686169587.245565, 5661.540000]: Aguardando carregamento dos módulos do controlador de voo...
[INFO] [1686169587.247643, 5661.540000]: Iniciando os testes...
[1.0100000190734866, -0.4846623232364653, 0.21580349063873291]
[1.0120000529289248, -0.5006045093536375, 0.21651648139953614]
[1.0170000481605532, -0.5183800449371336, 0.2182989583015442]
[1.0230000305175784, -0.5369340171813963, 0.22043793058395386]
[1.0310000467300418, -0.5569410314559935, 0.22328989362716675]
[1.0440000581741335, -0.580424844264984, 0.2279243335723877]
[1.065000026226044, -0.6096168746948241, 0.23541073656082154]
[8.267000465393068, -5.483710407257078, 2.802889810562134]
[7.646000175476075, 4.14217078781128, 2.451830612182617]
[7.495000152587892, 3.931381345748903, 2.4006137714385987]
[7.416000156402589, 3.7632502326965347, 2.3738183841705323]
[7.371000556945802, 3.6149412403106704, 2.3585550651550293]
[7.34600046157837, 3.477894903182985, 2.350075469970703]
[7.339000492095948, 3.350137115478517, 2.3477010593414307]
[7.34600046157837, 3.228930355072023, 2.350075469970703]
[7.364000110626222, 3.112247587203981, 2.356180654525757]
[7.3920004653930675, 2.9991017589569107, 2.3656778202056885]
[5.114000110626222, 1.965606213569642, 1.5930156574249268]
[5.086000232696534, 1.8690830478668221, 1.5835184917449951]
[5.093000202178956, 1.7862716922760018, 1.585892783164978]
[5.12500026702881, 1.7118870029449471, 1.5967466697692871]
[5.188000469207765, 1.6466072807312022, 1.6181152925491333]
[5.3190000343322765, 1.600371600151063, 1.6625485286712647]
[7.98900058746338, 2.2981621036529556, 2.5681710109710694]
[8.217000274658204, 2.225822330474855, 2.6455049381256104]
[11.770000724792482, 3.0107659111022973, 3.8506274089813233]
[11.85100009918213, 2.8293749103546166, 3.8781013355255127]
[11.9650004196167, 2.6526235351562524, 3.9167682991027832]
[12.127000122070314, 2.4819222698211694, 3.971716152191162]
[1.2540000963211062, -0.20115171277523022, 0.28376372313499454]
[1.196000008583069, -0.20916339659690839, 0.26409100151062015]
[1.1620000886917117, -0.220139547228813, 0.25255875444412235]
[1.1380000400543215, -0.2321835746765135, 0.24441830968856812]
[1.1170000720024111, -0.24412211680412274, 0.2372954354286194]
[1.1010000395774844, -0.2566291978359221, 0.23186849212646485]
[1.0860000538825991, -0.2688587596416472, 0.22678072905540467]
[1.0730000424385073, -0.2811565091609953, 0.2223713264465332]
[1.0630000519752505, -0.2939373245239256, 0.21897949433326722]
[1.0530000615119937, -0.30637192630767807, 0.21558763241767884]
[1.0440000581741335, -0.31880599164962753, 0.2125349805355072]
[1.0380000162124636, -0.33201739096641525, 0.21049986934661866]
[1.0310000467300418, -0.34464079046249374, 0.20812557792663575]
[1.0250000643730166, -0.3574194600582121, 0.2060904667377472]
[1.021000056266785, -0.37082022333145126, 0.20473374581336976]
[1.0170000481605532, -0.3840824952125548, 0.20337699508666993]
[1.0130000400543215, -0.39720627570152267, 0.20202027416229248]
[1.0100000190734866, -0.4106584181785582, 0.20100270366668702]
[1.0090000319480898, -0.4249750366210936, 0.20066352343559266]
[1.0080000448226931, -0.4392570247650145, 0.2003243432044983]
[1.0070000576972964, -0.4535044124126433, 0.19998516297340393]
