[INFO] [1685191045.597303, 0.000000]: Iniciando os testes...
[INFO] [1685191061.014419, 978.460000]: Aguardando carregamento dos módulos do controlador de voo...
[INFO] [1685191061.017164, 978.460000]: Iniciando os testes...
0.4
############## points_cloud
(-4.502951145172119, -2.42899227142334, 6.498000144958496)
(-4.672557830810547, -2.72467303276062, 7.289000511169434)
(-4.41040563583374, -2.6431832313537598, 7.071000099182129)
(-4.22857141494751, -2.6065502166748047, 6.973000526428223)
(-4.074872970581055, -2.5856170654296875, 6.9170002937316895)
(-3.934548854827881, -2.572160005569458, 6.881000518798828)
(-3.803788661956787, -2.564310073852539, 6.860000133514404)
(-3.679664373397827, -2.5605721473693848, 6.850000381469727)
(-3.5610852241516113, -2.5605721473693848, 6.850000381469727)
(-3.4475314617156982, -2.564310073852539, 6.860000133514404)
(-3.3375134468078613, -2.5710387229919434, 6.878000259399414)
(-3.23014760017395, -2.580383777618408, 6.903000354766846)
(-3.125070810317993, -2.592345714569092, 6.935000419616699)
(-2.170027494430542, -1.872021198272705, 5.008000373840332)
(-2.071270704269409, -1.8611807823181152, 4.979000091552734)
(-1.9878708124160767, -1.8637974262237549, 4.986000061035156)
(-1.9145258665084839, -1.8765069246292114, 5.020000457763672)
(-1.8505617380142212, -1.9000567197799683, 5.083000183105469)
(-1.8052219152450562, -1.9460347890853882, 5.206000328063965)
(-0.9659388661384583, -1.0959995985031128, 2.932000160217285)
(-0.9020737409591675, -1.080299735069275, 2.890000104904175)
(-0.8464437127113342, -1.0731974840164185, 2.871000051498413)
(-0.7953566908836365, -1.0713284015655518, 2.866000175476074)
(-0.7470448017120361, -1.0731974840164185, 2.871000051498413)
(-0.7007458806037903, -1.0784307718276978, 2.885000228881836)
(-0.6562180519104004, -1.087402105331421, 2.9090001583099365)
(-0.6133585572242737, -1.1008591651916504, 2.945000171661377)
(-0.573644757270813, -1.1229137182235718, 3.004000186920166)
(5.005558967590332, -3.3810765743255615, 9.045000076293945)
(4.9675211906433105, -3.2536087036132812, 8.704000473022461)
(4.990005016326904, -3.172118902206421, 8.486000061035156)
(5.035813331604004, -3.1096932888031006, 8.319000244140625)
(5.0926513671875, -3.0573604106903076, 8.179000854492188)
(5.158721446990967, -3.013251304626465, 8.06100082397461)
(5.228593349456787, -2.973628044128418, 7.955000400543213)
(5.30356502532959, -2.93886399269104, 7.862000465393066)
(-4.527043342590332, -2.5874428749084473, 7.258000373840332)
(-4.314076900482178, -2.5361075401306152, 7.11400032043457)
(-4.14262056350708, -2.5068750381469727, 7.032000541687012)
(-3.992300510406494, -2.4890501499176025, 6.982000350952148)
(-3.8542470932006836, -2.477998733520508, 6.951000213623047)
(-3.7247872352600098, -2.471938371658325, 6.934000492095947)
(-3.6037142276763916, -2.4712255001068115, 6.932000160217285)
(-3.4872331619262695, -2.4737207889556885, 6.939000129699707)
(-3.3748772144317627, -2.4794247150421143, 6.955000400543213)
(-3.2657105922698975, -2.487980604171753, 6.979000568389893)
(-3.15976881980896, -2.4997451305389404, 7.012000560760498)
(-2.170027494430542, -1.7853285074234009, 5.008000373840332)
(-2.071270704269409, -1.7749900817871094, 4.979000091552734)
(-1.9878708124160767, -1.7774856090545654, 4.986000061035156)
(-1.9145258665084839, -1.7896064519882202, 5.020000457763672)
(-1.850197672843933, -1.8117091655731201, 5.082000255584717)
(-1.804875135421753, -1.8555580377578735, 5.205000400543213)
(-0.9659388661384583, -1.0452442169189453, 2.932000160217285)
(-0.9020737409591675, -1.0302714109420776, 2.890000104904175)
(-0.8464437127113342, -1.0234980583190918, 2.871000051498413)
(-0.7953566908836365, -1.021715521812439, 2.866000175476074)
(-0.7470448017120361, -1.0234980583190918, 2.871000051498413)
(-0.7007458806037903, -1.0284889936447144, 2.885000228881836)
(-0.6562180519104004, -1.037044882774353, 2.9090001583099365)
(-0.6133585572242737, -1.049878716468811, 2.945000171661377)
(-0.573644757270813, -1.0709118843078613, 3.004000186920166)
(5.076948642730713, -3.2704877853393555, 9.17400074005127)
(5.01203727722168, -3.130741834640503, 8.782000541687012)
(5.03057861328125, -3.0498173236846924, 8.555000305175781)
(5.075160026550293, -2.988856554031372, 8.384000778198242)
(5.131255626678467, -2.937877893447876, 8.241000175476074)
(5.195838928222656, -2.89438533782959, 8.119000434875488)
(5.267372131347656, -2.8569533824920654, 8.013999938964844)
(5.344714641571045, -2.824512243270874, 7.923000335693359)
(-4.431116104125977, -2.4784207344055176, 7.307000160217285)
(-4.225684642791748, -2.4329700469970703, 7.173000335693359)
(-4.063775539398193, -2.410583972930908, 7.107000350952148)
(-3.918567657470703, -2.3970165252685547, 7.067000389099121)
(-3.784414052963257, -2.389554500579834, 7.0450005531311035)
(-3.657780170440674, -2.3865017890930176, 7.0360002517700195)
(-3.5369863510131836, -2.3871800899505615, 7.038000106811523)
(-3.42097544670105, -2.3912503719329834, 7.050000190734863)
(-3.3096964359283447, -2.3990516662597656, 7.073000431060791)
(-3.201676607131958, -2.409905433654785, 7.1050004959106445)
(-2.170027494430542, -1.6986356973648071, 5.008000373840332)
(-2.071270704269409, -1.6887993812561035, 4.979000091552734)
(-1.9878708124160767, -1.6911736726760864, 4.986000061035156)
(-1.9141443967819214, -1.7023667097091675, 5.019000053405762)
(-1.850197672843933, -1.7237353324890137, 5.082000255584717)
(-1.8041815757751465, -1.7647767066955566, 5.203000068664551)
(-0.9662683606147766, -0.9948279857635498, 2.933000087738037)
(-0.9020737409591675, -0.9802430868148804, 2.890000104904175)
(-0.8464437127113342, -0.9737985730171204, 2.871000051498413)
(-0.7953566908836365, -0.9721026420593262, 2.866000175476074)
(-0.7470448017120361, -0.9737985730171204, 2.871000051498413)
(-0.7007458806037903, -0.9785471558570862, 2.885000228881836)
(-0.6559924483299255, -0.9863483905792236, 2.9080002307891846)
(-0.6131502985954285, -0.9985589981079102, 2.944000244140625)
(-0.5734537839889526, -1.018570899963379, 3.003000259399414)
(5.075387001037598, -3.0163674354553223, 8.893000602722168)
(5.084677219390869, -2.9329278469085693, 8.647000312805176)
(5.124797821044922, -2.871535539627075, 8.4660005569458)
(5.17919921875, -2.821336269378662, 8.318000793457031)
(5.2431960105896, -2.7789382934570312, 8.193000793457031)
(5.315352916717529, -2.7429847717285156, 8.087000846862793)
(5.389911651611328, -2.7100837230682373, 7.990000247955322)
(-4.3558783531188965, -2.3799333572387695, 7.39400053024292)
(-4.159265995025635, -2.34130859375, 7.27400016784668)
(-3.996750593185425, -2.3200650215148926, 7.208000183105469)
(-3.8510239124298096, -2.307511806488037, 7.169000148773193)
(-3.716525077819824, -2.301074266433716, 7.14900016784668)
(-3.590759754180908, -2.2997868061065674, 7.145000457763672)
(-3.4724113941192627, -2.3033275604248047, 7.156000137329102)
(-3.3583614826202393, -2.310086727142334, 7.177000522613525)
(-3.2485415935516357, -2.3203868865966797, 7.209000110626221)
(-2.170027494430542, -1.611943006515503, 5.008000373840332)
(-2.071270704269409, -1.6026086807250977, 4.979000091552734)
(-1.9878708124160767, -1.6048617362976074, 4.986000061035156)
(-1.9141443967819214, -1.6154836416244507, 5.019000053405762)
(-1.849833607673645, -1.6354397535324097, 5.081000328063965)
(-1.8038347959518433, -1.6743865013122559, 5.202000141143799)
(-0.9662683606147766, -0.9440552592277527, 2.933000087738037)
(-0.9020737409591675, -0.9302147030830383, 2.890000104904175)
(-0.8464437127113342, -0.9240990877151489, 2.871000051498413)
(-0.7953566908836365, -0.9224897623062134, 2.866000175476074)
(-0.7470448017120361, -0.9240990877151489, 2.871000051498413)
(-0.7005029916763306, -0.9282834529876709, 2.884000062942505)
(-0.6559924483299255, -0.9360084533691406, 2.9080002307891846)
(-0.6131502985954285, -0.9475958943367004, 2.944000244140625)
(-0.5734537839889526, -0.9665864109992981, 3.003000259399414)
(5.1781158447265625, -2.9203591346740723, 9.072999954223633)
(5.1575927734375, -2.823153257369995, 8.771000862121582)
(5.187753200531006, -2.7584567070007324, 8.570000648498535)
(5.2402191162109375, -2.708888292312622, 8.416000366210938)
(5.302712440490723, -2.6670446395874023, 8.28600025177002)
(5.37122106552124, -2.6303510665893555, 8.17199993133545)
(5.449949264526367, -2.600416898727417, 8.079000473022461)
(-4.3096489906311035, -2.295489549636841, 7.5370001792907715)
(-4.10044002532959, -2.252241611480713, 7.395000457763672)
(-3.9418070316314697, -2.2348814010620117, 7.338000297546387)
(-3.798664093017578, -2.22544002532959, 7.307000160217285)
(-3.6661429405212402, -2.221785306930542, 7.2950005531311035)
(-3.5408308506011963, -2.2223944664001465, 7.297000408172607)
(-3.42153263092041, -2.2269628047943115, 7.312000274658203)
(-3.3071224689483643, -2.2351861000061035, 7.339000225067139)
(-2.1704607009887695, -1.5255547761917114, 5.009000301361084)
(-2.071270704269409, -1.5164179801940918, 4.979000091552734)
(-1.9878708124160767, -1.518549919128418, 4.986000061035156)
